sample_index,true_gender,true_race,true_secret,true_income,known_features,prior_baseline_prediction,conditional_prior_prediction,lomia_label_only_prediction,targeted_lomia_prediction,fredrikson_confidence_map_prediction,csmia_confidence_prediction,bayes_calibrated_confidence_map_prediction,is_targeted_group,targeted_group_key,query_count,score_query_count,candidate_label_outputs,fredrikson_confidence_outputs,csmia_confidence_outputs,bayes_calibrated_confidence_outputs
0,Male,White,gender=Male,<=50K,"{""age"": ""22"", ""education"": ""10th"", ""educational-num"": ""6"", ""race"": ""White"", ""hours-per-week"": ""30""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | 10th,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.989919777234903, ""p_observed"": 0.9949598886174515, ""prior_probability"": 0.3323572474377745, ""score"": 0.9949598886174515}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9840370364220694, ""p_observed"": 0.9920185182110346, ""prior_probability"": 0.6676427525622255, ""score"": 0.9920185182110346}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.989919777234903, ""p_observed"": 0.9949598886174515, ""prior_probability"": 0.3323572474377745, ""score"": 0.989919777234903}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9840370364220694, ""p_observed"": 0.9920185182110346, ""prior_probability"": 0.6676427525622255, ""score"": 0.9840370364220694}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.989919777234903, ""p_observed"": 0.9949598886174515, ""prior_probability"": 0.3323572474377745, ""score"": -1.111650553256223}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.9840370364220694, ""p_observed"": 0.9920185182110346, ""prior_probability"": 0.6676427525622255, ""score"": -0.42002905869651325}}"
1,Male,White,gender=Male,<=50K,"{""age"": ""73"", ""education"": ""1st-4th"", ""educational-num"": ""2"", ""race"": ""White"", ""hours-per-week"": ""20""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | 1st-4th,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9567779683538155, ""p_observed"": 0.9783889841769078, ""prior_probability"": 0.2535211267605634, ""score"": 0.9783889841769078}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.8335719923854811, ""p_observed"": 0.9167859961927405, ""prior_probability"": 0.7464788732394366, ""score"": 0.9167859961927405}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9567779683538155, ""p_observed"": 0.9783889841769078, ""prior_probability"": 0.2535211267605634, ""score"": 0.9567779683538155}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.8335719923854811, ""p_observed"": 0.9167859961927405, ""prior_probability"": 0.7464788732394366, ""score"": 0.8335719923854811}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.9567779683538155, ""p_observed"": 0.9783889841769078, ""prior_probability"": 0.2535211267605634, ""score"": -1.4160040265260228}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.8335719923854811, ""p_observed"": 0.9167859961927405, ""prior_probability"": 0.7464788732394366, ""score"": -0.4661503790835914}}"
2,Female,White,gender=Female,<=50K,"{""age"": ""20"", ""education"": ""Some-college"", ""educational-num"": ""10"", ""race"": ""White"", ""hours-per-week"": ""25""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | Some-college,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9932287297010234, ""p_observed"": 0.9966143648505117, ""prior_probability"": 0.44275132275132273, ""score"": 0.9966143648505117}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9805482669712955, ""p_observed"": 0.9902741334856477, ""prior_probability"": 0.5572486772486772, ""score"": 0.9902741334856477}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9932287297010234, ""p_observed"": 0.9966143648505117, ""prior_probability"": 0.44275132275132273, ""score"": 0.9932287297010234}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9805482669712955, ""p_observed"": 0.9902741334856477, ""prior_probability"": 0.5572486772486772, ""score"": 0.9805482669712955}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.9932287297010234, ""p_observed"": 0.9966143648505117, ""prior_probability"": 0.44275132275132273, ""score"": -0.8215297735051974}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.9805482669712955, ""p_observed"": 0.9902741334856477, ""prior_probability"": 0.5572486772486772, ""score"": -0.6042906237778751}}"
3,Male,White,gender=Male,<=50K,"{""age"": ""41"", ""education"": ""5th-6th"", ""educational-num"": ""3"", ""race"": ""White"", ""hours-per-week"": ""40""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | 5th-6th,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9179791443111769, ""p_observed"": 0.9589895721555883, ""prior_probability"": 0.27547169811320754, ""score"": 0.9589895721555883}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.8247063616660358, ""p_observed"": 0.912353180833018, ""prior_probability"": 0.7245283018867924, ""score"": 0.912353180833018}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9179791443111769, ""p_observed"": 0.9589895721555883, ""prior_probability"": 0.27547169811320754, ""score"": 0.9179791443111769}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.8247063616660358, ""p_observed"": 0.912353180833018, ""prior_probability"": 0.7245283018867924, ""score"": 0.8247063616660358}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.9179791443111769, ""p_observed"": 0.9589895721555883, ""prior_probability"": 0.27547169811320754, ""score"": -1.3730205404827918}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.8247063616660358, ""p_observed"": 0.912353180833018, ""prior_probability"": 0.7245283018867924, ""score"": -0.5056906623347555}}"
4,Male,White,gender=Male,<=50K,"{""age"": ""42"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""hours-per-week"": ""40""}",gender=Male,gender=Male,gender=Male,gender=Male,gender=Female,gender=Female,gender=Male,1,<=50K | HS-grad,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.755339030079288, ""p_observed"": 0.8776695150396441, ""prior_probability"": 0.3531869020347662, ""score"": 0.8776695150396441}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.42065122257227444, ""p_observed"": 0.7103256112861372, ""prior_probability"": 0.6468130979652338, ""score"": 0.7103256112861372}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.755339030079288, ""p_observed"": 0.8776695150396441, ""prior_probability"": 0.3531869020347662, ""score"": 0.755339030079288}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.42065122257227444, ""p_observed"": 0.7103256112861372, ""prior_probability"": 0.6468130979652338, ""score"": 0.42065122257227444}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.755339030079288, ""p_observed"": 0.8776695150396441, ""prior_probability"": 0.3531869020347662, ""score"": -1.30172822017977}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.42065122257227444, ""p_observed"": 0.7103256112861372, ""prior_probability"": 0.6468130979652338, ""score"": -1.1197615143336836}}"
5,Male,White,gender=Male,>50K,"{""age"": ""61"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""hours-per-week"": ""35""}",gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,1,>50K | HS-grad,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.8428273737204665, ""p_observed"": 0.07858631313976673, ""prior_probability"": 0.129565816678153, ""score"": 0.07858631313976673}, ""gender=Male"": {""alpha"": 1.0, ""margin"": -0.6590587316588548, ""p_observed"": 0.17047063417057273, ""prior_probability"": 0.870434183321847, ""score"": 0.17047063417057273}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.8428273737204665, ""p_observed"": 0.07858631313976673, ""prior_probability"": 0.129565816678153, ""score"": -0.8428273737204665}, ""gender=Male"": {""alpha"": 1.0, ""margin"": -0.6590587316588548, ""p_observed"": 0.17047063417057273, ""prior_probability"": 0.870434183321847, ""score"": -0.6590587316588548}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": -0.8428273737204665, ""p_observed"": 0.07858631313976673, ""prior_probability"": 0.129565816678153, ""score"": -7.130681745637738}, ""gender=Male"": {""alpha"": 2.0, ""margin"": -0.6590587316588548, ""p_observed"": 0.17047063417057273, ""prior_probability"": 0.870434183321847, ""score"": -3.6771475919260066}}"
6,Male,White,gender=Male,<=50K,"{""age"": ""49"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""hours-per-week"": ""40""}",gender=Male,gender=Male,gender=Male,gender=Male,gender=Female,gender=Female,gender=Male,1,<=50K | HS-grad,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.7579252369696848, ""p_observed"": 0.8789626184848423, ""prior_probability"": 0.3531869020347662, ""score"": 0.8789626184848423}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.35422999848925885, ""p_observed"": 0.6771149992446295, ""prior_probability"": 0.6468130979652338, ""score"": 0.6771149992446295}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.7579252369696848, ""p_observed"": 0.8789626184848423, ""prior_probability"": 0.3531869020347662, ""score"": 0.7579252369696848}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.35422999848925885, ""p_observed"": 0.6771149992446295, ""prior_probability"": 0.6468130979652338, ""score"": 0.35422999848925885}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.7579252369696848, ""p_observed"": 0.8789626184848423, ""prior_probability"": 0.3531869020347662, ""score"": -1.2987837136912685}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.35422999848925885, ""p_observed"": 0.6771149992446295, ""prior_probability"": 0.6468130979652338, ""score"": -1.2155262101754478}}"
7,Female,White,gender=Female,<=50K,"{""age"": ""45"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""hours-per-week"": ""37""}",gender=Male,gender=Male,gender=Male,gender=Male,gender=Female,gender=Female,gender=Male,1,<=50K | HS-grad,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.791528809649405, ""p_observed"": 0.8957644048247024, ""prior_probability"": 0.3531869020347662, ""score"": 0.8957644048247024}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.6318600815054198, ""p_observed"": 0.81593004075271, ""prior_probability"": 0.6468130979652338, ""score"": 0.81593004075271}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.791528809649405, ""p_observed"": 0.8957644048247024, ""prior_probability"": 0.3531869020347662, ""score"": 0.791528809649405}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.6318600815054198, ""p_observed"": 0.81593004075271, ""prior_probability"": 0.6468130979652338, ""score"": 0.6318600815054198}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.791528809649405, ""p_observed"": 0.8957644048247024, ""prior_probability"": 0.3531869020347662, ""score"": -1.2609135778989724}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.6318600815054198, ""p_observed"": 0.81593004075271, ""prior_probability"": 0.6468130979652338, ""score"": -0.8425512252043719}}"
8,Male,White,gender=Male,>50K,"{""age"": ""51"", ""education"": ""Assoc-acdm"", ""educational-num"": ""12"", ""race"": ""White"", ""hours-per-week"": ""45""}",gender=Male,gender=Male,gender=Male,,gender=Male,gender=Male,gender=Male,0,>50K | Assoc-acdm,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": "">50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.7335118144154682, ""p_observed"": 0.1332440927922658, ""prior_probability"": 0.19827586206896552, ""score"": 0.1332440927922658}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.08387371291543855, ""p_observed"": 0.5419368564577193, ""prior_probability"": 0.8017241379310345, ""score"": 0.5419368564577193}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.7335118144154682, ""p_observed"": 0.1332440927922658, ""prior_probability"": 0.19827586206896552, ""score"": -0.7335118144154682}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.08387371291543855, ""p_observed"": 0.5419368564577193, ""prior_probability"": 0.8017241379310345, ""score"": 0.08387371291543855}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": -0.7335118144154682, ""p_observed"": 0.1332440927922658, ""prior_probability"": 0.19827586206896552, ""score"": -5.6492410725456645}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.08387371291543855, ""p_observed"": 0.5419368564577193, ""prior_probability"": 0.8017241379310345, ""score"": -1.4462022686126637}}"
9,Female,White,gender=Female,<=50K,"{""age"": ""18"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""hours-per-week"": ""20""}",gender=Male,gender=Male,gender=Male,gender=Male,gender=Female,gender=Female,gender=Male,1,<=50K | HS-grad,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9926956216526408, ""p_observed"": 0.9963478108263205, ""prior_probability"": 0.3531869020347662, ""score"": 0.9963478108263205}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9813058718751384, ""p_observed"": 0.9906529359375691, ""prior_probability"": 0.6468130979652338, ""score"": 0.9906529359375691}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9926956216526408, ""p_observed"": 0.9963478108263205, ""prior_probability"": 0.3531869020347662, ""score"": 0.9926956216526408}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9813058718751384, ""p_observed"": 0.9906529359375691, ""prior_probability"": 0.6468130979652338, ""score"": 0.9813058718751384}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.9926956216526408, ""p_observed"": 0.9963478108263205, ""prior_probability"": 0.3531869020347662, ""score"": -1.0480756440455135}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.9813058718751384, ""p_observed"": 0.9906529359375691, ""prior_probability"": 0.6468130979652338, ""score"": -0.45447994507132305}}"
