sample_index,membership_label,user_id,true_label,base_prediction,label_stability_score,sampling_attack_score,transfer_attack_score,boundary_attack_score,dhattack_style_score,dhattack_style_raw_score
0,1,casia:452,1,1,0.90625,0.7741935483870968,0.9354838709677419,0.9354838709677419,0.18107074656221828,0.5161290322580645
1,1,casia:462,1,1,0.90625,1.0,0.22580645161290322,0.22580645161290322,0.8488654817273719,0.6451612903225806
2,1,casia:480,1,1,0.09375,0.3548387096774194,0.12903225806451613,0.12903225806451613,-1.1545187237680887,0.25806451612903225
3,1,casia:455,1,1,0.4375,0.41935483870967744,0.9354838709677419,0.9354838709677419,-0.31977530481164673,0.41935483870967744
4,1,casia:251,1,1,0.96875,1.0,0.967741935483871,0.967741935483871,-1.1545187237680887,0.25806451612903225
5,1,casia:350,1,1,0.875,1.0,0.5806451612903226,0.5806451612903226,-0.820621356185512,0.3225806451612903
6,1,casia:055,0,0,1.0,1.0,0.3225806451612903,0.3225806451612903,0.7390709512557364,0.967741935483871
7,1,casia:201,0,0,1.0,1.0,1.0,1.0,-1.6216595319841047,0.3870967741935484
8,1,casia:402,1,1,0.53125,0.25806451612903225,0.6129032258064516,0.6129032258064516,-1.8223134589332424,0.12903225806451613
9,1,casia:372,1,1,0.59375,0.3548387096774194,0.9354838709677419,0.9354838709677419,0.18107074656221828,0.5161290322580645
10,1,casia:354,1,1,0.40625,0.4838709677419355,0.8064516129032258,0.8064516129032258,-0.820621356185512,0.3225806451612903
11,1,casia:141,0,0,1.0,1.0,0.6451612903225806,0.6451612903225806,0.7390709512557364,0.967741935483871
12,1,casia:079,0,0,1.0,1.0,0.8387096774193549,0.8387096774193549,0.0833124836891136,0.8064516129032258
13,1,casia:318,1,1,0.5625,0.2903225806451613,1.0,1.0,0.3480194303535065,0.5483870967741935
14,1,casia:165,0,0,0.96875,1.0,0.25806451612903225,0.25806451612903225,0.6079192577424116,0.9354838709677419
15,1,casia:041,0,0,1.0,1.0,0.3225806451612903,0.3225806451612903,0.7390709512557364,0.967741935483871
16,1,casia:009,0,0,1.0,1.0,0.9032258064516129,0.9032258064516129,0.6079192577424116,0.9354838709677419
17,1,casia:063,0,0,1.0,1.0,0.967741935483871,0.967741935483871,0.34561587071576283,0.8709677419354839
18,1,casia:012,0,0,1.0,1.0,0.8387096774193549,0.8387096774193549,0.7390709512557364,0.967741935483871
19,1,casia:010,0,0,1.0,1.0,1.0,1.0,0.8702226447690609,1.0
20,1,casia:081,0,0,1.0,1.0,0.9032258064516129,0.9032258064516129,0.4767675642290872,0.9032258064516129
21,1,casia:419,1,1,0.5625,1.0,0.9354838709677419,0.9354838709677419,0.18107074656221828,0.5161290322580645
22,1,casia:029,0,0,1.0,1.0,0.7096774193548387,0.7096774193548387,0.4767675642290872,0.9032258064516129
23,1,casia:186,0,0,1.0,1.0,0.5483870967741935,0.5483870967741935,-1.6216595319841047,0.3870967741935484
24,1,casia:158,0,0,0.90625,1.0,0.2903225806451613,0.2903225806451613,0.7390709512557364,0.967741935483871
25,1,casia:312,1,1,0.75,0.7741935483870968,0.8064516129032258,0.8064516129032258,0.8488654817273719,0.6451612903225806
26,1,casia:056,0,0,1.0,1.0,0.9032258064516129,0.9032258064516129,0.7390709512557364,0.967741935483871
27,1,casia:330,1,1,1.0,1.0,0.967741935483871,0.967741935483871,1.182762849309949,0.7096774193548387
28,1,casia:128,0,0,1.0,1.0,0.6774193548387096,0.6774193548387096,-0.44129429036418444,0.6774193548387096
29,1,casia:131,0,0,1.0,1.0,0.8387096774193549,0.8387096774193549,-0.8347493709041576,0.5806451612903226
30,1,casia:006,0,0,0.96875,1.0,0.12903225806451613,0.12903225806451613,-2.1462663060374028,0.25806451612903225
31,1,casia:128,0,0,0.875,0.7096774193548387,0.25806451612903225,0.25806451612903225,-2.93317646711735,0.06451612903225806
32,1,casia:149,0,0,1.0,1.0,0.8387096774193549,0.8387096774193549,0.6079192577424116,0.9354838709677419
33,1,casia:457,1,1,0.9375,1.0,0.3548387096774194,0.3548387096774194,-0.15282662102035852,0.45161290322580644
34,1,casia:295,1,1,0.5625,0.3225806451612903,0.3225806451612903,0.3225806451612903,-0.9875700399768003,0.2903225806451613
35,1,casia:100,0,0,1.0,1.0,0.7419354838709677,0.7419354838709677,0.34561587071576283,0.8709677419354839
36,1,casia:073,0,0,0.96875,0.6129032258064516,0.6451612903225806,0.6451612903225806,-2.015114612524078,0.2903225806451613
37,1,casia:098,0,0,1.0,1.0,0.8709677419354839,0.8709677419354839,0.7390709512557364,0.967741935483871
38,1,casia:061,0,0,1.0,1.0,0.4838709677419355,0.4838709677419355,-0.04783920982421079,0.7741935483870968
39,1,casia:317,1,1,1.0,0.9354838709677419,0.6774193548387096,0.6774193548387096,0.18107074656221828,0.5161290322580645
40,1,casia:284,1,1,0.71875,0.45161290322580644,0.1935483870967742,1.0,1.01581416551866,0.6774193548387096
41,1,casia:083,0,0,1.0,1.0,0.9032258064516129,0.9032258064516129,-0.04783920982421079,0.7741935483870968
42,1,casia:111,0,0,1.0,1.0,0.6451612903225806,0.6451612903225806,0.6079192577424116,0.9354838709677419
43,1,casia:477,1,1,0.84375,0.8387096774193549,0.4838709677419355,0.4838709677419355,0.3480194303535065,0.5483870967741935
44,1,casia:440,1,1,0.59375,0.3548387096774194,0.5806451612903226,0.5806451612903226,-0.820621356185512,0.3225806451612903
45,1,casia:399,1,1,0.65625,0.25806451612903225,0.7419354838709677,0.7419354838709677,-0.6536726723942236,0.3548387096774194
46,1,casia:381,1,1,0.59375,0.5806451612903226,0.41935483870967744,0.41935483870967744,1.6836089006838135,0.8064516129032258
47,1,casia:289,1,1,0.8125,1.0,0.7741935483870968,0.7741935483870968,0.3480194303535065,0.5483870967741935
48,1,casia:047,0,0,1.0,1.0,0.9032258064516129,0.9032258064516129,0.7390709512557364,0.967741935483871
49,1,casia:075,0,0,1.0,1.0,0.9354838709677419,0.9354838709677419,0.7390709512557364,0.967741935483871
50,1,casia:260,1,1,0.0625,0.25806451612903225,0.9354838709677419,0.9354838709677419,-0.6536726723942236,0.3548387096774194
51,1,casia:333,1,1,0.9375,0.9354838709677419,0.967741935483871,0.967741935483871,0.5149681141447954,0.5806451612903226
52,1,casia:282,1,1,0.21875,0.25806451612903225,0.3548387096774194,0.3548387096774194,-0.820621356185512,0.3225806451612903
53,1,casia:264,1,1,0.34375,0.2903225806451613,1.0,1.0,-1.6553647751419542,0.16129032258064516
54,1,casia:010,0,1,0.03125,0.25806451612903225,0.12903225806451613,0.12903225806451613,0.6819167979360836,0.6129032258064516
55,1,casia:144,0,0,1.0,1.0,0.5806451612903226,0.5806451612903226,0.6079192577424116,0.9354838709677419
56,1,casia:249,0,0,0.21875,0.06451612903225806,0.03225806451612903,0.03225806451612903,-3.0643281606306747,0.03225806451612903
57,1,casia:129,0,0,0.71875,0.25806451612903225,0.3225806451612903,0.3225806451612903,-2.802024773604025,0.0967741935483871
58,1,casia:138,0,0,0.75,0.41935483870967744,0.4838709677419355,0.4838709677419355,0.21446417720243843,0.8387096774193549
59,1,casia:441,1,1,0.65625,0.9354838709677419,0.6451612903225806,0.6451612903225806,1.349711533101237,0.7419354838709677
60,1,casia:267,1,1,0.53125,0.41935483870967744,0.3225806451612903,0.3225806451612903,1.349711533101237,0.7419354838709677
61,1,casia:188,0,0,1.0,1.0,0.8709677419354839,0.8709677419354839,0.6079192577424116,0.9354838709677419
