sample_index,membership_label,user_id,true_label,base_prediction,label_stability_score,sampling_attack_score,transfer_attack_score,boundary_attack_score,dhattack_style_score,dhattack_style_raw_score
0,1,train:4665,1,1,1.0,1.0,0.7419354838709677,0.7419354838709677,0.5861247422455704,0.7419354838709677
1,1,train:4691,1,1,0.65625,0.7419354838709677,0.3548387096774194,0.3548387096774194,1.1241464877361083,0.8709677419354839
2,1,train:8780,1,1,0.0625,0.25806451612903225,0.3225806451612903,0.3225806451612903,0.5861247422455704,0.7419354838709677
3,1,train:5809,1,1,0.625,0.3548387096774194,0.7096774193548387,0.7096774193548387,0.7206301786182047,0.7741935483870968
4,1,train:1866,1,1,0.90625,0.25806451612903225,1.0,1.0,0.855135614990839,0.8064516129032258
5,1,test:9441,1,0,0.96875,0.8387096774193549,0.22580645161290322,0.22580645161290322,-1.589385803314731,0.12903225806451613
6,1,train:532,0,1,0.5,0.2903225806451613,0.9354838709677419,0.9354838709677419,0.31711386950030124,0.6774193548387096
7,1,train:9773,0,0,1.0,1.0,0.6129032258064516,0.6129032258064516,0.7435706100402513,0.6129032258064516
8,1,train:709,1,1,1.0,1.0,0.967741935483871,1.0,0.7206301786182047,0.7741935483870968
9,1,train:3230,1,0,1.0,1.0,0.0967741935483871,0.0967741935483871,0.5880401824832526,0.5806451612903226
10,1,train:3461,1,1,0.15625,0.25806451612903225,0.9354838709677419,0.9354838709677419,0.1826084331276669,0.6451612903225806
11,1,train:709,0,0,1.0,1.0,0.5161290322580645,0.5161290322580645,1.2101618927112479,0.7096774193548387
12,1,train:9816,0,0,1.0,1.0,0.41935483870967744,0.41935483870967744,-0.18961195530174157,0.41935483870967744
13,1,train:2753,1,1,0.375,0.25806451612903225,0.9032258064516129,0.9032258064516129,0.5861247422455704,0.7419354838709677
14,1,train:5815,0,0,1.0,1.0,0.7741935483870968,0.7741935483870968,1.676753175382244,0.8064516129032258
15,1,train:6415,0,0,1.0,1.0,0.7741935483870968,0.7741935483870968,1.2101618927112479,0.7096774193548387
16,1,train:7170,0,0,1.0,1.0,0.7419354838709677,0.7419354838709677,1.0546314651542488,0.6774193548387096
17,1,train:10072,0,0,1.0,1.0,0.967741935483871,0.967741935483871,1.0546314651542488,0.6774193548387096
18,1,train:8359,0,0,1.0,1.0,0.7419354838709677,0.7419354838709677,0.89910103759725,0.6451612903225806
19,1,train:2590,0,0,0.8125,0.12903225806451613,0.03225806451612903,0.03225806451612903,-1.4338553757577324,0.16129032258064516
20,1,train:7612,1,0,0.875,0.1935483870967742,0.3548387096774194,0.3548387096774194,0.5880401824832526,0.5806451612903226
21,1,train:2437,1,1,0.6875,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.7206301786182047,0.7741935483870968
22,1,test:5427,0,0,1.0,1.0,1.0,1.0,0.89910103759725,0.6451612903225806
23,1,train:5765,0,0,1.0,1.0,0.7096774193548387,0.7096774193548387,0.43250975492625343,0.5483870967741935
24,1,train:5765,0,0,1.0,1.0,0.6774193548387096,1.0,0.5880401824832526,0.5806451612903226
25,1,train:1999,1,1,0.625,0.25806451612903225,0.5806451612903226,0.5806451612903226,0.855135614990839,0.8064516129032258
26,1,train:5537,0,0,1.0,1.0,0.9354838709677419,0.9354838709677419,0.5880401824832526,0.5806451612903226
27,1,train:5193,1,0,1.0,1.0,0.967741935483871,0.967741935483871,-0.18961195530174157,0.41935483870967744
28,1,train:418,0,0,1.0,1.0,0.6129032258064516,0.6129032258064516,1.0546314651542488,0.6774193548387096
29,1,train:8669,0,0,1.0,1.0,0.7419354838709677,0.7419354838709677,0.89910103759725,0.6451612903225806
30,1,train:6421,0,0,1.0,1.0,0.9354838709677419,0.9354838709677419,0.27697932736925474,0.5161290322580645
31,1,train:5809,0,1,0.40625,0.2903225806451613,0.5806451612903226,0.5806451612903226,-0.35541331236287094,0.5161290322580645
32,1,train:8718,0,0,1.0,1.0,0.7096774193548387,0.7096774193548387,1.0546314651542488,0.6774193548387096
33,1,train:1780,1,1,0.0625,0.25806451612903225,0.3548387096774194,0.3548387096774194,-1.5659622397165809,0.22580645161290322
34,1,train:308,1,1,0.65625,0.8064516129032258,0.45161290322580644,0.45161290322580644,-0.8934350578534087,0.3870967741935484
35,1,train:9483,0,0,0.625,0.8387096774193549,0.5161290322580645,0.5161290322580645,-0.18961195530174157,0.41935483870967744
36,1,train:8337,0,0,1.0,1.0,0.7419354838709677,0.7419354838709677,0.7435706100402513,0.6129032258064516
37,1,train:648,0,0,1.0,1.0,0.45161290322580644,0.45161290322580644,0.27697932736925474,0.5161290322580645
38,1,train:8116,0,0,1.0,1.0,0.45161290322580644,0.7096774193548387,1.2101618927112479,0.7096774193548387
39,1,train:3461,1,1,0.21875,0.2903225806451613,0.9354838709677419,0.9354838709677419,0.7206301786182047,0.7741935483870968
40,1,train:3216,1,1,0.1875,0.2903225806451613,0.25806451612903225,0.25806451612903225,-0.6244241851081398,0.45161290322580644
41,1,train:5809,0,0,1.0,1.0,0.9354838709677419,0.9354838709677419,1.0546314651542488,0.6774193548387096
42,1,train:17,0,0,1.0,1.0,0.6774193548387096,0.6774193548387096,0.27697932736925474,0.5161290322580645
43,1,train:4691,1,1,0.5625,0.3225806451612903,0.9354838709677419,0.9354838709677419,0.7206301786182047,0.7741935483870968
44,1,train:3461,1,1,0.9375,1.0,0.967741935483871,0.967741935483871,0.31711386950030124,0.6774193548387096
45,1,train:4929,1,1,1.0,1.0,0.5483870967741935,0.5483870967741935,0.7206301786182047,0.7741935483870968
46,1,train:8116,1,0,1.0,1.0,1.0,1.0,1.0546314651542488,0.6774193548387096
47,1,train:999,1,1,0.875,1.0,1.0,1.0,0.5861247422455704,0.7419354838709677
48,1,train:5816,0,1,1.0,1.0,0.6774193548387096,0.6774193548387096,-0.08640243961760177,0.5806451612903226
49,1,train:4916,0,0,1.0,1.0,0.8709677419354839,0.8709677419354839,0.43250975492625343,0.5483870967741935
50,1,train:8669,1,0,1.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,-1.4338553757577324,0.16129032258064516
51,1,train:9104,1,1,0.53125,0.2903225806451613,0.5806451612903226,0.5806451612903226,-0.8934350578534087,0.3870967741935484
52,1,train:4691,1,0,1.0,1.0,0.9354838709677419,0.9354838709677419,-0.34514238285874055,0.3870967741935484
53,1,train:5833,1,0,0.28125,0.1935483870967742,0.06451612903225806,0.06451612903225806,-1.9004466584287287,0.06451612903225806
54,1,train:8451,0,0,1.0,1.0,0.3548387096774194,0.3548387096774194,-0.6562032379727382,0.3225806451612903
55,1,train:5537,0,0,1.0,1.0,0.8387096774193549,0.8387096774193549,0.12144889981225605,0.4838709677419355
56,1,train:6673,0,0,1.0,1.0,0.8709677419354839,0.8709677419354839,1.0546314651542488,0.6774193548387096
57,1,train:6845,0,0,1.0,1.0,0.6451612903225806,0.6451612903225806,-0.34514238285874055,0.3870967741935484
58,1,train:5035,0,1,0.53125,0.25806451612903225,0.1935483870967742,0.1935483870967742,0.1826084331276669,0.6451612903225806
59,1,train:8337,1,1,0.5625,0.25806451612903225,0.8709677419354839,0.8709677419354839,-0.2209078759902366,0.5483870967741935
60,1,test:5427,1,1,0.09375,0.5161290322580645,0.7419354838709677,0.7419354838709677,-0.2209078759902366,0.5483870967741935
61,1,train:8857,0,0,0.96875,1.0,0.6451612903225806,0.6451612903225806,-0.34514238285874055,0.3870967741935484
62,1,train:6438,1,1,0.71875,0.7419354838709677,0.6774193548387096,1.0,-0.08640243961760177,0.5806451612903226
63,1,train:4929,0,0,1.0,1.0,0.22580645161290322,0.22580645161290322,0.27697932736925474,0.5161290322580645
64,1,train:6638,1,1,0.71875,0.6129032258064516,0.3870967741935484,0.3870967741935484,-0.35541331236287094,0.5161290322580645
65,1,train:5877,1,1,0.3125,0.22580645161290322,0.06451612903225806,0.06451612903225806,-2.3729948579523876,0.03225806451612903
